technique,median,lo,hi,n,n_subj,frac_cells_pos
ecephys,0.34185255388323305,0.24647699026530268,0.546438180672951,675,3,0.717
mesoscope,0.0995682572190153,0.020487473105953714,0.22151961130342165,2834,4,0.5402
