area,lay,oddball,sequence,duration
VISl,L5,0.7570028011204483,0.14285714285714152,2.4489795918367347
VISl,L6,0.43557422969187665,-0.04081632653061229,0.33163265306122447
VISlm,L1-3,0.7352941176470585,0.25170068027210873,0.2040816326530612
VISlm,L4,2.3242296918767495,0.08163265306122433,0.943877551020408
VISlm,L5,2.5707282913165255,0.9727891156462586,1.5306122448979589
VISlm,L6,1.6953781512605035,0.45578231292516996,0.2040816326530612
VISp,L1-3,0.9607843137254899,0.10884353741496602,0.4719387755102041
VISp,L4,2.5546218487394956,0.3469387755102044,4.489795918367347
VISp,L5,4.497198879551822,0.31292517006802717,2.270408163265306
VISp,L6,1.469187675070028,0.4149659863945588,1.0969387755102038
