lg,oddball,sequence,duration
L1-3,0.5901219018487697,0.2453021838082464,0.40588171529364747
L4,0.5155425219941349,0.1025594969567385,0.2872022718664179
L5,0.4263011659538968,0.20387596897911067,0.3075082073569049
L6,0.3744516296753649,0.2678936603495405,0.0758409495961089
