lay,oddball,sequence,duration
L1-3,0.7436974789915961,0.10884353741496598,0.2551020408163264
L4,1.164565826330532,0.11904761904761821,2.933673469387755
L5,1.7177871148459376,0.28571428571428303,2.028061224489796
L6,1.3921568627450975,0.41496598639455684,0.3316326530612245
