area,ece_med,ece_lo,ece_hi,ece_n,meso_med,meso_lo,meso_hi,meso_n,ece_sig,meso_sig
VISp,0.25316691499298916,0.01791493697639406,0.4012404078559125,580,-0.07708178140111299,-0.29845135523593286,0.17642166523951075,16275,True,False
VISl,0.18476871964459035,-0.010309278348552393,0.3338497288493398,405,0.18429362557043366,0.02650018469706916,0.3212342299877738,14806,False,True
