area,median_dvi,lo,hi,n_roi,n_sess,sess_positive
VISl,0.18429362557043366,0.1574940207624492,0.2137102202753836,14806,16,13
VISp,-0.07708178140111299,-0.10452690710601648,-0.0499287508894426,16275,16,7
